"name","href","系统","剧情","人设","画面","音乐","声优","游戏性","工口","鬼畜","总体评分","对白"
"《少年之国的少女爱丽丝》","https://bangumi.tv/blog/275689","D-","E+","D+","C-","C","D+","E","C+","B-","29",
"《时间旅行者》","https://bangumi.tv/blog/287504","A","A-","B+","A-","A-","A","B","E","D-","91",
"《桃色性癖开放宣言》","https://bangumi.tv/blog/272823","B+","C-","B+","A-","C+","B+","D+","A","C+","64",
"《最喜欢哥哥了》","https://bangumi.tv/blog/272358","B","E+","C","B-","C+","B-","E","C","D+","40",
"《公主恋人》","https://bangumi.tv/blog/269571","B","C+","B","B","A-","A-","D-","B+","C-","66",
"《白色相簿2：序章》","https://bangumi.tv/blog/269595","B+","A-","B-","B+","S","A+","E","D","D","78",
"《晓之护卫：罪孽深重的末世论》","https://bangumi.tv/blog/275678","B","B-","A","A-","A-","B+","D","C+","C","75",
"《虹色炼金橘子》","https://bangumi.tv/blog/269521","B+","C+","B-","B-","B+","B","D","C","D","66",
"《古色迷宫轮舞曲》","https://bangumi.tv/blog/275677","A","B+","B","B+","A-","A","B","C","C+","88",
"《极限脱出ADV善人死亡》","https://bangumi.tv/blog/293447","A+","A","B","B-","C+","B-","A","E","C-","92",
"《夏之孤岛的暗之声》","https://bangumi.tv/blog/272679","B-","E+","B","B-","A-","A-","E+","B+","C+","48",
"《美少女万华镜：勿忘草与永远的少女》","https://bangumi.tv/blog/270214","B-","C","B-","A+","A-","A-","D-","A+","C","65",
"《箱贰伍遗体》","https://bangumi.tv/blog/277476","C-","C","B","B-","B+","E","E+","E+","C-","55",
"《Holy Breaker!》","https://bangumi.tv/blog/274695","A-","C-","C","B","B-","C+","E","E","E+","53",
"《兰斯5D：孤单的女孩子》","https://bangumi.tv/blog/273234","C","B-","B-","C+","B","E","A-","C+","A-","74",
"《装甲恶鬼村正》","https://bangumi.tv/blog/269589","B-","A+","B+","A-","A-","A+","C","C-","B-","91",
"《女仆咖啡帕露菲》","https://bangumi.tv/blog/269496","A+","A","A-","A-","A","A+","C+","B","D+","94",
"《SEX战争》","https://bangumi.tv/blog/270215","C","D","B-","B","C","C","C-","B","B","50",
"《波与波之间：细波诊疗所》","https://bangumi.tv/blog/294911","B-","B-","B","B","C+","B","D","B-","C+","67",
"《突然之间发现我已恋上你》","https://bangumi.tv/blog/270197","B+","C+","B","B+","C+","B","D","B","C","66",
"《Seventh coat》","https://bangumi.tv/blog/270390","C","B+","B+","B","A","E","E","E","E+","68",
"《駄作》","https://bangumi.tv/blog/277186","B","C","B-","B","B+","A-","D","B","A+","64",
"《镰鼬之夜：特别篇》","https://bangumi.tv/blog/293797","B+","B","E+","D","B+","E+","C-","E+","D-","63",
"《爱上父亲的彩子》","https://bangumi.tv/blog/277851","B-","D-","B-","B+","C","C-","D-","B+","C+","47",
"《命运石之门》","https://bangumi.tv/blog/270149","A","S-","A","B","A","A+","C-","E","E","96",
"《奸狱娼女》","https://bangumi.tv/blog/273365","C+","E+","B-","A-","D","D+","D","B+","A-","42",
"《校内赤线区域》","https://bangumi.tv/blog/275720","B","C","B","B-","D+","B","A+","B+","S-","74",
"《律子之叹，由纪之香》","https://bangumi.tv/blog/269572","B+","C","A-","A+","E","B+","D-","B","D+","61",
"《圆交少女：田径部悠希篇》","https://bangumi.tv/blog/275660","B+","C","B+","A+","A-","A","E","A","B","66",
"《12Riven》","https://bangumi.tv/blog/269532","B-","A","B","B+","B","B","C-","E","E+","83",
"《实妹相伴的大泉君》","https://bangumi.tv/blog/270144","B","B","A+","A+","B","A-","D-","C","D+","76",
"《龙与精灵的委托》","https://bangumi.tv/blog/275437","E+","D-","B","C-","C-","E","B-","D","D","47",
